id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,detailed_mood
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,78,2020s,euphoric
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,65,2020s,nostalgic
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,72,2010s,aggressive
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,58,2020s,nostalgic
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,85,2020s,euphoric
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,47,2010s,dreamy
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,55,2000s,nostalgic
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,70,2010s,dreamy
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,62,2020s,calm
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,74,2020s,euphoric
11,Golden Hour Drive,Theo Mays,r&b,romantic,0.61,95,0.88,0.74,0.42,80,2020s,romantic
12,Concrete Jungle,Block Theory,hip-hop,energetic,0.87,102,0.65,0.91,0.08,88,2010s,aggressive
13,Rainy Window,Clara Voss,classical,sad,0.22,58,0.31,0.28,0.97,42,2000s,melancholic
14,Dust and Boots,The Ridgeline,country,relaxed,0.48,88,0.76,0.61,0.83,53,2010s,nostalgic
15,Voltage Drop,Static Wave,electronic,intense,0.95,140,0.52,0.94,0.03,76,2020s,aggressive
16,Weight of the World,Iron Veil,metal,angry,0.97,168,0.21,0.55,0.06,61,2010s,aggressive
17,Sunday Slow,Amber Keys,jazz,romantic,0.33,75,0.82,0.49,0.91,50,2000s,romantic
18,Lost Signal,Pale Drift,ambient,sad,0.19,55,0.27,0.33,0.95,38,2020s,melancholic
19,Move the Crowd,DJ Sable,hip-hop,energetic,0.89,108,0.70,0.96,0.04,91,2020s,euphoric
20,Heartstrings,Mara Lune,r&b,sad,0.44,82,0.38,0.57,0.66,67,2010s,melancholic
21,Golden Wave,Prism Shore,pop,happy,0.78,120,0.80,0.82,0.15,82,2010s,euphoric
22,Neon Hearts,Vivid Sound,pop,romantic,0.65,105,0.85,0.75,0.20,75,2000s,romantic
23,Summer Crash,The Daylights,pop,energetic,0.88,128,0.79,0.85,0.10,83,2020s,euphoric
24,Quiet Spark,Luna West,pop,chill,0.45,95,0.72,0.60,0.38,68,2010s,nostalgic
25,Afternoon Drift,Cloud Room,lofi,chill,0.38,75,0.58,0.55,0.80,60,2010s,calm
26,Rain Loops,Soft Static,lofi,sad,0.30,70,0.42,0.50,0.85,55,2020s,melancholic
27,Study Beats Vol 2,LoRoom,lofi,focused,0.43,82,0.61,0.63,0.75,64,2020s,calm
28,Broken Fuse,Circuit Wolves,rock,intense,0.88,148,0.45,0.68,0.12,74,2010s,aggressive
29,Open Roads,The Ridgeline,rock,energetic,0.80,138,0.68,0.72,0.20,70,2000s,euphoric
30,Hollow Walls,Pale Ridge,rock,sad,0.62,118,0.35,0.58,0.32,65,2010s,melancholic
31,Static Dreams,Iron Veil,rock,moody,0.72,125,0.40,0.65,0.18,68,2020s,dreamy
32,Frequency War,Voltline,rock,intense,0.93,155,0.50,0.70,0.08,77,2000s,aggressive
33,Deep Blue Calm,Orbit Bloom,ambient,chill,0.22,58,0.70,0.38,0.94,45,2010s,dreamy
34,Floating Above,Sky Texture,ambient,relaxed,0.25,62,0.68,0.42,0.96,40,2020s,calm
35,Void Whispers,Pale Drift,ambient,sad,0.15,52,0.25,0.30,0.97,36,2000s,melancholic
36,Starfield Drift,Cosmo Layer,ambient,moody,0.30,65,0.55,0.45,0.90,48,2020s,dreamy
37,Blue Note Lounge,Marcus Vale,jazz,relaxed,0.40,88,0.75,0.52,0.90,58,2000s,nostalgic
38,Late Night Keys,Amber Keys,jazz,moody,0.35,80,0.55,0.47,0.88,52,2010s,melancholic
39,Smooth Operator,Clara Voss,jazz,romantic,0.45,95,0.80,0.58,0.85,62,2020s,romantic
40,Quarter Past Midnight,The Trio,jazz,chill,0.32,75,0.66,0.50,0.92,48,2000s,dreamy
41,Binary Sunset,Neon Echo,synthwave,moody,0.68,108,0.55,0.75,0.15,72,2010s,dreamy
42,Retro Pulse,Circuit Ghost,synthwave,energetic,0.82,118,0.65,0.80,0.12,78,2020s,euphoric
43,Neon Boulevard,Static Wave,synthwave,intense,0.90,135,0.55,0.85,0.08,80,2010s,aggressive
44,Velvet Drive,Pixel Dreams,synthwave,romantic,0.60,98,0.72,0.70,0.25,68,2000s,romantic
45,Digital Horizon,Cyber Lane,synthwave,chill,0.50,92,0.60,0.68,0.30,65,2020s,nostalgic
46,Pastel Afternoon,Sunhaze,indie pop,happy,0.70,112,0.82,0.75,0.40,72,2020s,euphoric
47,Wandering Soul,The Drifters,indie pop,sad,0.48,90,0.42,0.55,0.55,65,2010s,melancholic
48,Garden Lights,Bloom Theory,indie pop,romantic,0.62,105,0.78,0.70,0.45,70,2020s,romantic
49,Bicycle Days,Indigo Parade,indie pop,chill,0.52,95,0.75,0.65,0.50,68,2010s,nostalgic
50,Fading Colors,Morning Dept,indie pop,moody,0.55,100,0.48,0.60,0.42,66,2000s,dreamy
51,Velvet Nights,Theo Mays,r&b,romantic,0.58,90,0.88,0.72,0.38,82,2010s,romantic
52,All I Need,Mara Lune,r&b,happy,0.72,100,0.85,0.80,0.28,79,2020s,euphoric
53,Late Nights,Soul Wave,r&b,moody,0.55,85,0.60,0.65,0.45,74,2000s,melancholic
54,Run to You,Golden Echo,r&b,energetic,0.78,110,0.80,0.82,0.22,83,2020s,euphoric
55,City Lights,Block Theory,hip-hop,energetic,0.84,100,0.70,0.90,0.06,86,2020s,aggressive
56,Old School Cool,DJ Sable,hip-hop,chill,0.55,88,0.72,0.78,0.20,75,2000s,nostalgic
57,Grind Season,Max Pulse,hip-hop,intense,0.90,112,0.62,0.88,0.05,88,2010s,aggressive
58,Vibes Only,Neon Echo,hip-hop,happy,0.75,96,0.78,0.85,0.12,80,2020s,euphoric
59,Moonlit Sonata,Clara Voss,classical,sad,0.25,65,0.35,0.32,0.98,45,2000s,melancholic
60,Morning Prelude,The Quartet,classical,relaxed,0.30,72,0.70,0.40,0.97,48,2010s,calm
61,Thunderous March,Orchestra One,classical,intense,0.72,130,0.45,0.60,0.90,55,2000s,aggressive
62,Autumn Leaves,Marcus Vale,classical,romantic,0.35,68,0.75,0.45,0.96,52,2010s,romantic
63,Lullaby in D,Amber Keys,classical,chill,0.20,58,0.65,0.35,0.99,40,2020s,dreamy
64,Backroad Summer,The Ridgeline,country,happy,0.72,95,0.82,0.70,0.78,68,2010s,euphoric
65,Prairie Wind,Lone Star Band,country,relaxed,0.42,80,0.74,0.58,0.88,56,2000s,nostalgic
66,Heartbreak Highway,Dakota Rose,country,sad,0.50,85,0.38,0.55,0.82,62,2010s,melancholic
67,Last Round,Boot Cut,country,intense,0.78,105,0.58,0.68,0.65,65,2020s,aggressive
68,Porch Lights,Amber Keys,country,chill,0.35,75,0.78,0.52,0.90,55,2000s,nostalgic
69,Bass Drop City,DJ Sable,electronic,intense,0.96,145,0.55,0.95,0.02,84,2020s,aggressive
70,Pulse Wave,Cyber Lane,electronic,energetic,0.88,138,0.65,0.90,0.05,78,2010s,euphoric
71,Floating Frequencies,Orbit Bloom,electronic,chill,0.48,90,0.62,0.70,0.35,65,2020s,dreamy
72,Dawn Protocol,Static Wave,electronic,moody,0.65,115,0.48,0.78,0.18,72,2000s,dreamy
73,Rave Memory,Circuit Ghost,electronic,happy,0.92,140,0.75,0.92,0.04,80,2010s,euphoric
74,Shattered Crown,Iron Veil,metal,angry,0.98,175,0.18,0.52,0.04,65,2010s,aggressive
75,Void Descent,Circuit Wolves,metal,intense,0.95,168,0.22,0.55,0.05,60,2000s,aggressive
76,Storm Caller,Voltline,metal,angry,0.96,172,0.20,0.50,0.06,58,2020s,aggressive
77,Iron Throne,Black Static,metal,intense,0.92,160,0.28,0.58,0.08,63,2010s,aggressive
78,Bleeding Sky,Pale Ridge,metal,moody,0.85,145,0.30,0.60,0.10,56,2000s,melancholic
